accommodates,availability_30,bathrooms,bed_type_Real Bed,bed_type_Futon,bed_type_Airbed,bed_type_Pull-out Sofa,bed_type_Couch,bedrooms,beds,calculated_host_listings_count,cancellation_policy_flexible,cancellation_policy_strict,cancellation_policy_moderate,cancellation_policy_super_strict_30,cancellation_policy_no_refunds,guests_included,host_is_superhost,host_listings_count,instant_bookable,maximum_nights,number_of_reviews,property_type_Apartment,property_type_House,property_type_Townhouse,property_type_Other,property_type_Cabin,property_type_Loft,property_type_Condominium,property_type_Camper/RV,property_type_Tent,property_type_Bungalow,property_type_Bed & Breakfast,property_type_Villa,property_type_Boat,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,price
2.0,28.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,100.0,10.0,1.0,0.0,0.0,125
6.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,90.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,9.0,97.0,9.0,1.0,0.0,0.0,165
6.0,0.0,2.5,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,60.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,9.0,100.0,10.0,1.0,0.0,0.0,200
8.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,9.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,11.0,0.0,7.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,9.0,98.0,10.0,1.0,0.0,0.0,175
6.0,26.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,365.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,100.0,9.0,1.0,0.0,0.0,297
6.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,9.0,100.0,10.0,1.0,0.0,0.0,200
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,11.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,9.0,100.0,9.0,0.0,1.0,0.0,98
4.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,90.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,96.0,10.0,1.0,0.0,0.0,200
7.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,9.0,100.0,8.0,1.0,0.0,0.0,400
4.0,29.0,1.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,5.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,9.0,78.0,8.0,0.0,1.0,0.0,101
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,100.0,10.0,0.0,1.0,0.0,199
